Roll_No,Total_Enrolled,Total_Released,Total_Present,Total_Absent,Rows,Bad_Rows,Effective_Enrolled,Attendance_Percent,Below_Threshold,Email,Notification_Message
1,172,0,153,19,1,0,172,88.95348837,FALSE,1@college.edu,"Dear 1, your attendance is 89.0% (153/172). Good Attendance, keep it up!"
2,171,0,154,17,1,0,171,90.05847953,FALSE,2@college.edu,"Dear 2, your attendance is 90.1% (154/171). Good Attendance, keep it up!"
3,172,0,158,14,1,0,172,91.86046512,FALSE,3@college.edu,"Dear 3, your attendance is 91.9% (158/172). Good Attendance, keep it up!"
4,173,0,166,7,1,0,173,95.95375723,FALSE,4@college.edu,"Dear 4, your attendance is 96.0% (166/173). Good Attendance, keep it up!"
5,173,0,164,9,1,0,173,94.79768786,FALSE,5@college.edu,"Dear 5, your attendance is 94.8% (164/173). Good Attendance, keep it up!"
6,173,0,162,11,1,0,173,93.6416185,FALSE,6@college.edu,"Dear 6, your attendance is 93.6% (162/173). Good Attendance, keep it up!"
7,173,0,163,10,1,0,173,94.21965318,FALSE,7@college.edu,"Dear 7, your attendance is 94.2% (163/173). Good Attendance, keep it up!"
8,174,0,167,7,1,0,174,95.97701149,FALSE,8@college.edu,"Dear 8, your attendance is 96.0% (167/174). Good Attendance, keep it up!"
9,174,0,167,7,1,0,174,95.97701149,FALSE,9@college.edu,"Dear 9, your attendance is 96.0% (167/174). Good Attendance, keep it up!"
10,174,0,166,8,1,0,174,95.40229885,FALSE,10@college.edu,"Dear 10, your attendance is 95.4% (166/174). Good Attendance, keep it up!"
11,174,0,161,13,1,0,174,92.52873563,FALSE,11@college.edu,"Dear 11, your attendance is 92.5% (161/174). Good Attendance, keep it up!"
12,174,0,165,9,1,0,174,94.82758621,FALSE,12@college.edu,"Dear 12, your attendance is 94.8% (165/174). Good Attendance, keep it up!"
13,174,0,168,6,1,0,174,96.55172414,FALSE,13@college.edu,"Dear 13, your attendance is 96.6% (168/174). Good Attendance, keep it up!"
14,173,0,166,7,1,0,173,95.95375723,FALSE,14@college.edu,"Dear 14, your attendance is 96.0% (166/173). Good Attendance, keep it up!"
15,173,0,158,15,1,0,173,91.32947977,FALSE,15@college.edu,"Dear 15, your attendance is 91.3% (158/173). Good Attendance, keep it up!"
16,172,0,168,4,1,0,172,97.6744186,FALSE,16@college.edu,"Dear 16, your attendance is 97.7% (168/172). Good Attendance, keep it up!"
17,172,0,165,7,1,0,172,95.93023256,FALSE,17@college.edu,"Dear 17, your attendance is 95.9% (165/172). Good Attendance, keep it up!"
18,171,0,163,8,1,0,171,95.32163743,FALSE,18@college.edu,"Dear 18, your attendance is 95.3% (163/171). Good Attendance, keep it up!"
19,171,0,161,10,1,0,171,94.15204678,FALSE,19@college.edu,"Dear 19, your attendance is 94.2% (161/171). Good Attendance, keep it up!"
20,170,0,162,8,1,0,170,95.29411765,FALSE,20@college.edu,"Dear 20, your attendance is 95.3% (162/170). Good Attendance, keep it up!"
21,170,0,156,14,1,0,170,91.76470588,FALSE,21@college.edu,"Dear 21, your attendance is 91.8% (156/170). Good Attendance, keep it up!"
